id,type,parent_id,schema,name,parent_name,datatype,constraints,instances,text_sequence,instance_sequence
entity_1,table,entity_0,HR_ORACLE,COUNTRIES,,,,"COUNTRY ID, COUNTRY NAME, REGION ID","COUNTRIES [COUNTRY ID, COUNTRY NAME, REGION ID]","COUNTRIES: {COUNTRY ID, COUNTRY NAME, REGION ID}"
entity_2,column,entity_1,HR_ORACLE,COUNTRY_ID,COUNTRIES,VARCHAR2,PRIMARY KEY,"CH, DE, ML, JP, KW",COUNTRY_ID COUNTRIES VARCHAR2 PRIMARY KEY,"COUNTRY_ID: {CH, DE, ML, JP, KW}"
entity_3,column,entity_1,HR_ORACLE,COUNTRY_NAME,COUNTRIES,VARCHAR2,,"Nigeria, India, Italy, Belgium, Brazil",COUNTRY_NAME COUNTRIES VARCHAR2 ,"COUNTRY_NAME: {Nigeria, India, Italy, Belgium, Brazil}"
entity_4,column,entity_1,HR_ORACLE,REGION_ID,COUNTRIES,NUMBER,FOREIGN KEY,2,REGION_ID COUNTRIES NUMBER FOREIGN KEY,REGION_ID: {2}
entity_5,table,entity_0,HR_ORACLE,DEPARTMENTS,,,,"DEPARTMENT ID, DEPARTMENT NAME, MANAGER ID, LOCATION ID","DEPARTMENTS [DEPARTMENT ID, DEPARTMENT NAME, MANAGER ID, LOCATION ID]","DEPARTMENTS: {DEPARTMENT ID, DEPARTMENT NAME, MANAGER ID, LOCATION ID}"
entity_6,column,entity_5,HR_ORACLE,DEPARTMENT_ID,DEPARTMENTS,NUMBER,PRIMARY KEY,"180, 80, 250, 60, 110",DEPARTMENT_ID DEPARTMENTS NUMBER PRIMARY KEY,"DEPARTMENT_ID: {180, 80, 250, 60, 110}"
entity_7,column,entity_5,HR_ORACLE,DEPARTMENT_NAME,DEPARTMENTS,VARCHAR2,,"Purchasing, Accounting, Retail Sales, Government Sales, Corporate Tax",DEPARTMENT_NAME DEPARTMENTS VARCHAR2 ,"DEPARTMENT_NAME: {Purchasing, Accounting, Retail Sales, Government Sales, Corporate Tax}"
entity_8,column,entity_5,HR_ORACLE,MANAGER_ID,DEPARTMENTS,NUMBER,FOREIGN KEY,"108, 100, 201, 205, 203",MANAGER_ID DEPARTMENTS NUMBER FOREIGN KEY,"MANAGER_ID: {108, 100, 201, 205, 203}"
entity_9,column,entity_5,HR_ORACLE,LOCATION_ID,DEPARTMENTS,NUMBER,FOREIGN KEY,"1700, 2700, 1400, 1500, 2400",LOCATION_ID DEPARTMENTS NUMBER FOREIGN KEY,"LOCATION_ID: {1700, 2700, 1400, 1500, 2400}"
entity_10,table,entity_0,HR_ORACLE,EMPLOYEES,,,,"EMPLOYEE ID, FIRST NAME, LAST NAME, EMAIL, PHONE NUMBER, HIRE DATE, JOB ID, SALARY, COMMISSION PCT, MANAGER ID, DEPARTMENT ID","EMPLOYEES [EMPLOYEE ID, FIRST NAME, LAST NAME, EMAIL, PHONE NUMBER, HIRE DATE, JOB ID, SALARY, COMMISSION PCT, MANAGER ID, DEPARTMENT ID]","EMPLOYEES: {EMPLOYEE ID, FIRST NAME, LAST NAME, EMAIL, PHONE NUMBER, HIRE DATE, JOB ID, SALARY, COMMISSION PCT, MANAGER ID, DEPARTMENT ID}"
entity_11,column,entity_10,HR_ORACLE,EMPLOYEE_ID,EMPLOYEES,NUMBER,PRIMARY KEY,"179, 205, 182, 159, 143",EMPLOYEE_ID EMPLOYEES NUMBER PRIMARY KEY,"EMPLOYEE_ID: {179, 205, 182, 159, 143}"
entity_12,column,entity_10,HR_ORACLE,FIRST_NAME,EMPLOYEES,VARCHAR2,,"Girard, Michael, Daniel, Danielle, Stephen",FIRST_NAME EMPLOYEES VARCHAR2 ,"FIRST_NAME: {Girard, Michael, Daniel, Danielle, Stephen}"
entity_13,column,entity_10,HR_ORACLE,LAST_NAME,EMPLOYEES,VARCHAR2,,"Kaufling, Mourgos, Grant, Zlotkey, Weiss",LAST_NAME EMPLOYEES VARCHAR2 ,"LAST_NAME: {Kaufling, Mourgos, Grant, Zlotkey, Weiss}"
