PATH_ID,SCHEMA,CHILD_TABLE,CHILD_COLUMN,PARENT_TABLE,PARENT_COLUMN
1,HR_ORACLE,COUNTRIES,REGION_ID,REGIONS,REGION_ID
2,HR_ORACLE,DEPARTMENTS,MANAGER_ID,EMPLOYEES,EMPLOYEE_ID
3,HR_ORACLE,DEPARTMENTS,LOCATION_ID,LOCATIONS,LOCATION_ID
4,HR_ORACLE,EMPLOYEES,DEPARTMENT_ID,DEPARTMENTS,DEPARTMENT_ID
6,HR_ORACLE,EMPLOYEES,JOB_ID,JOBS,JOB_ID
7,HR_ORACLE,JOB_HISTORY,DEPARTMENT_ID,DEPARTMENTS,DEPARTMENT_ID
8,HR_ORACLE,JOB_HISTORY,EMPLOYEE_ID,EMPLOYEES,EMPLOYEE_ID
9,HR_ORACLE,JOB_HISTORY,JOB_ID,JOBS,JOB_ID
10,HR_ORACLE,LOCATIONS,COUNTRY_ID,COUNTRIES,COUNTRY_ID
11,OC_ORACLE,INVENTORY,PRODUCT_ID,PRODUCTS,PRODUCT_ID
12,OC_ORACLE,INVENTORY,STORE_ID,STORES,STORE_ID
13,OC_ORACLE,ORDERS,CUSTOMER_ID,CUSTOMERS,CUSTOMER_ID
14,OC_ORACLE,ORDERS,STORE_ID,STORES,STORE_ID
15,OC_ORACLE,ORDER_ITEMS,ORDER_ID,ORDERS,ORDER_ID
16,OC_ORACLE,ORDER_ITEMS,PRODUCT_ID,PRODUCTS,PRODUCT_ID
17,OC_ORACLE,ORDER_ITEMS,SHIPMENT_ID,SHIPMENTS,SHIPMENT_ID
18,OC_ORACLE,SHIPMENTS,CUSTOMER_ID,CUSTOMERS,CUSTOMER_ID
19,OC_ORACLE,SHIPMENTS,STORE_ID,STORES,STORE_ID
20,OC_SAP,CUSTOMER_ORDER,CUSTOMERID,CUSTOMER,CUSTOMERID
21,OC_SAP,CUSTOMER_ORDER,PRODUCTID,PRODUCT,PRODUCTID
22,OC_MYSQL,CUSTOMERS,SALESREPEMPLOYEENUMBER,EMPLOYEES,EMPLOYEENUMBER
24,OC_MYSQL,EMPLOYEES,OFFICECODE,OFFICES,OFFICECODE
25,OC_MYSQL,ORDERDETAILS,ORDERNUMBER,ORDERS,ORDERNUMBER
26,OC_MYSQL,ORDERDETAILS,PRODUCTCODE,PRODUCTS,PRODUCTCODE
27,OC_MYSQL,ORDERS,CUSTOMERNUMBER,CUSTOMERS,CUSTOMERNUMBER
28,OC_MYSQL,PAYMENTS,CUSTOMERNUMBER,CUSTOMERS,CUSTOMERNUMBER
29,OC_MYSQL,PRODUCTS,PRODUCTLINE,PRODUCTLINES,PRODUCTLINE
30,TPCH_SF1,CUSTOMER,C_NATIONKEY,NATION,N_NATIONKEY
31,TPCH_SF1,LINEITEM,L_ORDERKEY,ORDERS,O_ORDERKEY
32,TPCH_SF1,LINEITEM,L_PARTKEY,PARTSUPP,PS_PARTKEY
33,TPCH_SF1,LINEITEM,L_SUPPKEY,PARTSUPP,PS_SUPPKEY
34,TPCH_SF1,NATION,N_REGIONKEY,REGION,R_REGIONKEY
35,TPCH_SF1,ORDERS,O_CUSTKEY,CUSTOMER,C_CUSTKEY
36,TPCH_SF1,PARTSUPP,PS_PARTKEY,PART,P_PARTKEY
37,TPCH_SF1,PARTSUPP,PS_SUPPKEY,SUPPLIER,S_SUPPKEY
38,TPCH_SF1,SUPPLIER,S_NATIONKEY,NATION,N_NATIONKEY
39,SAKILA,ADDRESS,CITY_ID,CITY,CITY_ID
40,SAKILA,CITY,COUNTRY_ID,COUNTRY,COUNTRY_ID
41,SAKILA,CUSTOMER,ADDRESS_ID,ADDRESS,ADDRESS_ID
42,SAKILA,CUSTOMER,STORE_ID,STORE,STORE_ID
43,SAKILA,FILM,LANGUAGE_ID,LANGUAGE,LANGUAGE_ID
44,SAKILA,FILM,ORIGINAL_LANGUAGE_ID,LANGUAGE,LANGUAGE_ID
45,SAKILA,FILM_ACTOR,ACTOR_ID,ACTOR,ACTOR_ID
46,SAKILA,FILM_ACTOR,FILM_ID,FILM,FILM_ID
47,SAKILA,FILM_CATEGORY,CATEGORY_ID,CATEGORY,CATEGORY_ID
48,SAKILA,FILM_CATEGORY,FILM_ID,FILM,FILM_ID
49,SAKILA,INVENTORY,FILM_ID,FILM,FILM_ID
50,SAKILA,INVENTORY,STORE_ID,STORE,STORE_ID
51,SAKILA,PAYMENT,CUSTOMER_ID,CUSTOMER,CUSTOMER_ID
52,SAKILA,PAYMENT,RENTAL_ID,RENTAL,RENTAL_ID
53,SAKILA,PAYMENT,STAFF_ID,STAFF,STAFF_ID
54,SAKILA,RENTAL,CUSTOMER_ID,CUSTOMER,CUSTOMER_ID
55,SAKILA,RENTAL,INVENTORY_ID,INVENTORY,INVENTORY_ID
56,SAKILA,RENTAL,STAFF_ID,STAFF,STAFF_ID
57,SAKILA,STAFF,ADDRESS_ID,ADDRESS,ADDRESS_ID
58,SAKILA,STAFF,STORE_ID,STORE,STORE_ID
59,SAKILA,STORE,ADDRESS_ID,ADDRESS,ADDRESS_ID
60,SAKILA,STORE,MANAGER_STAFF_ID,STAFF,STAFF_ID
