PATH_ID,SCHEMA,CHILD_TABLE,CHILD_COLUMN,PARENT_TABLE,PARENT_COLUMN
1,HR_ORACLE,entity_1,entity_4,entity_40,entity_41
2,HR_ORACLE,entity_5,entity_8,entity_10,entity_11
3,HR_ORACLE,entity_5,entity_9,entity_33,entity_34
4,HR_ORACLE,entity_10,entity_21,entity_5,entity_6
6,HR_ORACLE,entity_10,entity_17,entity_28,entity_29
7,HR_ORACLE,entity_22,entity_27,entity_5,entity_6
8,HR_ORACLE,entity_22,entity_23,entity_10,entity_11
9,HR_ORACLE,entity_22,entity_26,entity_28,entity_29
10,HR_ORACLE,entity_33,entity_39,entity_1,entity_2
11,OC_ORACLE,entity_48,entity_51,entity_66,entity_67
12,OC_ORACLE,entity_48,entity_50,entity_82,entity_83
13,OC_ORACLE,entity_60,entity_63,entity_44,entity_45
14,OC_ORACLE,entity_60,entity_65,entity_82,entity_83
15,OC_ORACLE,entity_53,entity_54,entity_60,entity_61
16,OC_ORACLE,entity_53,entity_56,entity_66,entity_67
17,OC_ORACLE,entity_53,entity_59,entity_76,entity_77
18,OC_ORACLE,entity_76,entity_79,entity_44,entity_45
19,OC_ORACLE,entity_76,entity_78,entity_82,entity_83
20,OC_SAP,entity_185,entity_188,entity_163,entity_164
21,OC_SAP,entity_185,entity_187,entity_172,entity_173
22,OC_MYSQL,entity_95,entity_107,entity_109,entity_110
24,OC_MYSQL,entity_109,entity_115,entity_118,entity_119
25,OC_MYSQL,entity_128,entity_129,entity_134,entity_135
26,OC_MYSQL,entity_128,entity_130,entity_152,entity_153
27,OC_MYSQL,entity_134,entity_141,entity_95,entity_96
28,OC_MYSQL,entity_142,entity_143,entity_95,entity_96
29,OC_MYSQL,entity_152,entity_155,entity_147,entity_148
30,TPCH_SF1,entity_207,entity_211,entity_233,entity_234
31,TPCH_SF1,entity_216,entity_217,entity_238,entity_239
32,TPCH_SF1,entity_216,entity_218,entity_258,entity_259
33,TPCH_SF1,entity_216,entity_219,entity_258,entity_260
34,TPCH_SF1,entity_233,entity_236,entity_264,entity_265
35,TPCH_SF1,entity_238,entity_240,entity_207,entity_208
36,TPCH_SF1,entity_258,entity_259,entity_248,entity_249
37,TPCH_SF1,entity_258,entity_260,entity_268,entity_269
38,TPCH_SF1,entity_268,entity_272,entity_233,entity_234
39,SAKILA,entity_281,entity_286,entity_292,entity_293
40,SAKILA,entity_292,entity_295,entity_296,entity_297
41,SAKILA,entity_299,entity_305,entity_281,entity_282
42,SAKILA,entity_299,entity_301,entity_358,entity_359
43,SAKILA,entity_308,entity_313,entity_331,entity_332
44,SAKILA,entity_308,entity_314,entity_331,entity_332
45,SAKILA,entity_321,entity_322,entity_277,entity_278
46,SAKILA,entity_321,entity_323,entity_308,entity_309
47,SAKILA,entity_324,entity_326,entity_289,entity_290
48,SAKILA,entity_324,entity_325,entity_308,entity_309
49,SAKILA,entity_327,entity_329,entity_308,entity_309
50,SAKILA,entity_327,entity_330,entity_358,entity_359
51,SAKILA,entity_334,entity_336,entity_299,entity_300
52,SAKILA,entity_334,entity_338,entity_341,entity_342
53,SAKILA,entity_334,entity_337,entity_348,entity_349
54,SAKILA,entity_341,entity_345,entity_299,entity_300
55,SAKILA,entity_341,entity_344,entity_327,entity_328
56,SAKILA,entity_341,entity_347,entity_348,entity_349
57,SAKILA,entity_348,entity_352,entity_281,entity_282
58,SAKILA,entity_348,entity_354,entity_358,entity_359
59,SAKILA,entity_358,entity_361,entity_281,entity_282
60,SAKILA,entity_358,entity_360,entity_348,entity_349
