method,schema_A,schema_B,top_k_table,top_k,matches,recall,mrr,map
LSH,OC_MYSQL,OC_ORACLE,3) ser_magneto,1,59,0.4444444444444444,0.08959614459614461,0.44
LSH,OC_MYSQL,OC_ORACLE,3) ser_magneto,2,118,0.7777777777777778,0.07318932884157037,0.62
LSH,OC_MYSQL,OC_ORACLE,3) ser_magneto,3,177,0.8518518518518519,0.06701483302706789,0.6466666666666666
LSH,OC_MYSQL,OC_ORACLE,3) ser_magneto,5,295,0.9629629629629629,0.05957090358459935,0.6706666666666666
LSH,OC_MYSQL,OC_ORACLE,3) ser_magneto,10,590,1.0,0.057193220084612924,0.6751111111111111
LSH,OC_MYSQL,OC_ORACLE,3) ser_magneto,20,1180,1.0,0.057148565890232046,0.6751111111111111
LSH,OC_MYSQL,OC_ORACLE,1) ser_schema,1,59,0.5555555555555556,0.20041273922781694,0.56
LSH,OC_MYSQL,OC_ORACLE,1) ser_schema,2,118,0.6296296296296297,0.17673183769158998,0.6
LSH,OC_MYSQL,OC_ORACLE,1) ser_schema,3,177,0.7037037037037037,0.15919950740356556,0.6266666666666666
LSH,OC_MYSQL,OC_ORACLE,1) ser_schema,5,295,0.8888888888888888,0.1275499358136539,0.6746666666666666
LSH,OC_MYSQL,OC_ORACLE,1) ser_schema,10,590,1.0,0.11375447844942335,0.6924444444444444
LSH,OC_MYSQL,OC_ORACLE,1) ser_schema,20,1180,1.0,0.11374792278620888,0.6924444444444444
LSH,OC_MYSQL,OC_ORACLE,2) ser_values,1,59,0.5925925925925926,0.18417026823688007,0.6
LSH,OC_MYSQL,OC_ORACLE,2) ser_values,2,118,0.6296296296296297,0.15970537783192257,0.62
LSH,OC_MYSQL,OC_ORACLE,2) ser_values,3,177,0.7037037037037037,0.14359229125707362,0.6466666666666666
LSH,OC_MYSQL,OC_ORACLE,2) ser_values,5,295,0.9629629629629629,0.10678077932769181,0.7166666666666666
LSH,OC_MYSQL,OC_ORACLE,2) ser_values,10,590,1.0,0.10273229445922066,0.7223809523809525
LSH,OC_MYSQL,OC_ORACLE,2) ser_values,20,1180,1.0,0.1026939389827182,0.7223809523809525
LSH,OC_MYSQL,OC_ORACLE,4) ser_reference,1,59,0.5925925925925926,0.18669909714898103,0.6
LSH,OC_MYSQL,OC_ORACLE,4) ser_reference,2,118,0.5925925925925926,0.17658991539506247,0.6
LSH,OC_MYSQL,OC_ORACLE,4) ser_reference,3,177,0.8148148148148148,0.13245381458513938,0.68
LSH,OC_MYSQL,OC_ORACLE,4) ser_reference,5,295,0.9259259259259259,0.11653682708782519,0.706
LSH,OC_MYSQL,OC_ORACLE,4) ser_reference,10,590,0.9629629629629629,0.11191523246718298,0.711
LSH,OC_MYSQL,OC_ORACLE,4) ser_reference,20,1180,0.9629629629629629,0.11187687111528039,0.711
LSH,TPCH_SF1,OC_ORACLE,3) ser_magneto,1,61,0.36,0.09118312554800195,0.375
LSH,TPCH_SF1,OC_ORACLE,3) ser_magneto,2,122,0.64,0.09482648450250751,0.5208333333333334
LSH,TPCH_SF1,OC_ORACLE,3) ser_magneto,3,183,0.72,0.08409808809039376,0.5416666666666666
LSH,TPCH_SF1,OC_ORACLE,3) ser_magneto,5,305,0.8,0.07565323350348799,0.5604166666666667
LSH,TPCH_SF1,OC_ORACLE,3) ser_magneto,10,610,0.96,0.06348434591853452,0.5827380952380953
LSH,TPCH_SF1,OC_ORACLE,3) ser_magneto,20,1220,1.0,0.06114352616771997,0.5862103174603175
LSH,TPCH_SF1,OC_ORACLE,1) ser_schema,1,61,0.4,0.26418831168831164,0.4166666666666667
LSH,TPCH_SF1,OC_ORACLE,1) ser_schema,2,122,0.6,0.17926959596949152,0.5208333333333334
LSH,TPCH_SF1,OC_ORACLE,1) ser_schema,3,183,0.76,0.14369237716659758,0.5763888888888888
LSH,TPCH_SF1,OC_ORACLE,1) ser_schema,5,305,0.8,0.13657031295757288,0.5868055555555555
LSH,TPCH_SF1,OC_ORACLE,1) ser_schema,10,610,0.96,0.11398500940662692,0.6070601851851851
LSH,TPCH_SF1,OC_ORACLE,1) ser_schema,20,1220,1.0,0.1094383999664026,0.610848063973064
LSH,TPCH_SF1,OC_ORACLE,2) ser_values,1,61,0.4,0.25507686757686754,0.4166666666666667
LSH,TPCH_SF1,OC_ORACLE,2) ser_values,2,122,0.6,0.1597149209648623,0.5104166666666666
LSH,TPCH_SF1,OC_ORACLE,2) ser_values,3,183,0.72,0.13494325931925172,0.5520833333333334
LSH,TPCH_SF1,OC_ORACLE,2) ser_values,5,305,0.88,0.11156042003097752,0.5916666666666667
LSH,TPCH_SF1,OC_ORACLE,2) ser_values,10,610,1.0,0.09814962148263966,0.6068783068783069
LSH,TPCH_SF1,OC_ORACLE,2) ser_values,20,1220,1.0,0.0980442780428946,0.6068783068783069
LSH,TPCH_SF1,OC_ORACLE,4) ser_reference,1,61,0.4,0.25289072039072036,0.4166666666666667
LSH,TPCH_SF1,OC_ORACLE,4) ser_reference,2,122,0.52,0.19118659269463406,0.4791666666666667
LSH,TPCH_SF1,OC_ORACLE,4) ser_reference,3,183,0.72,0.1417952029374838,0.5416666666666666
LSH,TPCH_SF1,OC_ORACLE,4) ser_reference,5,305,0.84,0.12079699555735016,0.5708333333333333
LSH,TPCH_SF1,OC_ORACLE,4) ser_reference,10,610,0.96,0.10543847205912948,0.587037037037037
LSH,TPCH_SF1,OC_ORACLE,4) ser_reference,20,1220,1.0,0.10120526820857335,0.5908249158249158
LSH,SAKILA,OC_ORACLE,3) ser_magneto,1,70,0.35714285714285715,0.19537569485477607,0.425
LSH,SAKILA,OC_ORACLE,3) ser_magneto,2,140,0.75,0.10795692916173616,0.6375
LSH,SAKILA,OC_ORACLE,3) ser_magneto,3,210,0.8571428571428571,0.09492009737356598,0.6875
