schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,precision,0.2711864406779661,0.22033898305084745,0.15254237288135594,0.11440677966101695,0.09152542372881356,0.07627118644067797,0.06537530266343826,,,,,,,,,
oc_mysql__oc_oracle,recall,0.5925925925925926,0.9629629629629629,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
oc_mysql__oc_oracle,f1,0.37209302325581395,0.3586206896551724,0.2647058823529412,0.20532319391634982,0.16770186335403725,0.14173228346456693,0.12272727272727273,,,,,,,,,
tpch_sf1__oc_oracle,precision,0.18032786885245902,0.13934426229508196,0.1092896174863388,0.09016393442622951,0.07213114754098361,0.06557377049180328,0.0585480093676815,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.44,0.68,0.8,0.88,0.88,0.96,1.0,,,,,,,,,
tpch_sf1__oc_oracle,f1,0.2558139534883721,0.23129251700680273,0.1923076923076923,0.16356877323420074,0.13333333333333333,0.1227621483375959,0.11061946902654866,,,,,,,,,
sakila__oc_oracle,precision,0.24285714285714285,0.14285714285714285,0.11904761904761904,0.09642857142857143,0.07714285714285714,0.06666666666666667,0.05714285714285714,,,,,,,,,
sakila__oc_oracle,recall,0.6071428571428571,0.7142857142857143,0.8928571428571429,0.9642857142857143,0.9642857142857143,1.0,1.0,,,,,,,,,
sakila__oc_oracle,f1,0.3469387755102041,0.23809523809523808,0.21008403361344538,0.17532467532467533,0.14285714285714285,0.125,0.1081081081081081,,,,,,,,,
oc_oracle__oc_mysql,precision,0.3953488372093023,0.23255813953488372,0.15503875968992248,0.11627906976744186,0.09767441860465116,0.08139534883720931,0.06976744186046512,0.061046511627906974,,,,,,,,
oc_oracle__oc_mysql,recall,0.8095238095238095,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,1.0,1.0,1.0,,,,,,,,
oc_oracle__oc_mysql,f1,0.53125,0.37383177570093457,0.26666666666666666,0.2072538860103627,0.17796610169491525,0.15053763440860218,0.13043478260869565,0.11506849315068494,,,,,,,,
tpch_sf1__oc_mysql,precision,0.26229508196721313,0.18032786885245902,0.12568306010928962,0.09836065573770492,0.07868852459016394,0.06557377049180328,0.05620608899297424,0.04918032786885246,,,,,,,,
tpch_sf1__oc_mysql,recall,0.6666666666666666,0.9166666666666666,0.9583333333333334,1.0,1.0,1.0,1.0,1.0,,,,,,,,
tpch_sf1__oc_mysql,f1,0.37647058823529417,0.3013698630136986,0.2222222222222222,0.1791044776119403,0.14589665653495443,0.12307692307692307,0.10643015521064302,0.09375,,,,,,,,
sakila__oc_mysql,precision,0.3142857142857143,0.19285714285714287,0.1619047619047619,0.12857142857142856,0.10857142857142857,0.09285714285714286,0.07959183673469387,0.06964285714285715,,,,,,,,
sakila__oc_mysql,recall,0.5641025641025641,0.6923076923076923,0.8717948717948718,0.9230769230769231,0.9743589743589743,1.0,1.0,1.0,,,,,,,,
sakila__oc_mysql,f1,0.40366972477064217,0.3016759776536313,0.2730923694779116,0.225705329153605,0.1953727506426735,0.1699346405228758,0.14744801512287334,0.1302170283806344,,,,,,,,
oc_oracle__tpch_sf1,precision,0.3023255813953488,0.19767441860465115,0.15503875968992248,0.13372093023255813,0.10697674418604651,0.09302325581395349,0.08305647840531562,0.07267441860465117,,,,,,,,
oc_oracle__tpch_sf1,recall,0.52,0.68,0.8,0.92,0.92,0.96,1.0,1.0,,,,,,,,
oc_oracle__tpch_sf1,f1,0.38235294117647056,0.3063063063063063,0.2597402597402597,0.233502538071066,0.19166666666666668,0.1696113074204947,0.15337423312883436,0.13550135501355015,,,,,,,,
oc_mysql__tpch_sf1,precision,0.3220338983050847,0.2288135593220339,0.1638418079096045,0.1228813559322034,0.1016949152542373,0.0847457627118644,0.07263922518159806,0.0635593220338983,,,,,,,,
oc_mysql__tpch_sf1,recall,0.6333333333333333,0.9,0.9666666666666667,0.9666666666666667,1.0,1.0,1.0,1.0,,,,,,,,
oc_mysql__tpch_sf1,f1,0.42696629213483145,0.36486486486486486,0.2801932367149758,0.2180451127819549,0.18461538461538463,0.15625,0.13544018058690743,0.1195219123505976,,,,,,,,
sakila__tpch_sf1,precision,0.15714285714285714,0.14285714285714285,0.11904761904761904,0.10714285714285714,0.09428571428571429,0.08095238095238096,0.06938775510204082,0.060714285714285714,,,,,,,,
sakila__tpch_sf1,recall,0.3235294117647059,0.5882352941176471,0.7352941176470589,0.8823529411764706,0.9705882352941176,1.0,1.0,1.0,,,,,,,,
sakila__tpch_sf1,f1,0.21153846153846154,0.22988505747126434,0.20491803278688525,0.1910828025477707,0.17187500000000003,0.1497797356828194,0.1297709923664122,0.11447811447811447,,,,,,,,
oc_oracle__sakila,precision,0.20930232558139536,0.1511627906976744,0.10077519379844961,0.0755813953488372,0.07441860465116279,0.06589147286821706,0.059800664451827246,0.05232558139534884,0.046511627906976744,0.044186046511627906,0.042283298097251586,0.03875968992248062,0.03577817531305903,0.03488372093023256,0.03255813953488372,0.03255813953488372
oc_oracle__sakila,recall,0.42857142857142855,0.6190476190476191,0.6190476190476191,0.6190476190476191,0.7619047619047619,0.8095238095238095,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9047619047619048,0.9523809523809523,0.9523809523809523,0.9523809523809523,1.0,1.0,1.0
oc_oracle__sakila,f1,0.28125000000000006,0.24299065420560745,0.17333333333333334,0.13471502590673573,0.13559322033898305,0.12186379928315413,0.11180124223602485,0.09863013698630138,0.08823529411764706,0.08425720620842572,0.08097165991902834,0.074487895716946,0.06896551724137931,0.06741573033707865,0.06306306306306306,0.06306306306306306
oc_mysql__sakila,precision,0.3559322033898305,0.23728813559322035,0.1694915254237288,0.13135593220338984,0.10847457627118644,0.0903954802259887,0.0847457627118644,0.07627118644067797,0.06779661016949153,0.061016949152542375,0.05546995377503852,0.052259887005649715,0.048239895697522815,0.04721549636803874,0.04406779661016949,0.04406779661016949
oc_mysql__sakila,recall,0.5384615384615384,0.717948717948718,0.7692307692307693,0.7948717948717948,0.8205128205128205,0.8205128205128205,0.8974358974358975,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9487179487179487,0.9487179487179487,1.0,1.0,1.0
oc_mysql__sakila,f1,0.42857142857142855,0.356687898089172,0.2777777777777778,0.2254545454545455,0.19161676646706585,0.16284987277353688,0.15486725663716813,0.14090019569471626,0.12631578947368421,0.11446740858505565,0.10465116279069768,0.09906291834002677,0.09181141439205955,0.09017341040462429,0.08441558441558442,0.08441558441558442
tpch_sf1__sakila,precision,0.16393442622950818,0.13114754098360656,0.09836065573770492,0.08196721311475409,0.06557377049180328,0.0546448087431694,0.0468384074941452,0.0430327868852459,0.04189435336976321,0.03934426229508197,0.03576751117734724,0.03415300546448088,0.031525851197982346,0.03161592505854801,0.029508196721311476,0.029508196721311476
tpch_sf1__sakila,recall,0.37037037037037035,0.5925925925925926,0.6666666666666666,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7777777777777778,0.8518518518518519,0.8888888888888888,0.8888888888888888,0.9259259259259259,0.9259259259259259,1.0,1.0,1.0
tpch_sf1__sakila,f1,0.22727272727272727,0.21476510067114096,0.1714285714285714,0.14760147601476015,0.12048192771084337,0.10178117048346055,0.0881057268722467,0.08155339805825243,0.0798611111111111,0.07535321821036108,0.06876790830945559,0.06587615283267459,0.06097560975609757,0.06129398410896709,0.057324840764331204,0.057324840764331204
