schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,recall,0.662962962962963,0.7074074074074075,0.9888888888888889,1.0,1.0,1.0,1.0,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.516,0.792,0.96,0.96,0.96,1.0,1.0,,,,,,,,,
sakila__oc_oracle,recall,0.6785714285714286,0.7107142857142857,0.9321428571428572,0.9464285714285715,0.9642857142857144,1.0,1.0,,,,,,,,,
oc_oracle__oc_mysql,recall,0.8714285714285713,0.9571428571428571,0.9666666666666668,1.0,1.0,1.0,1.0,1.0,,,,,,,,
tpch_sf1__oc_mysql,recall,0.4916666666666667,0.6291666666666667,0.8916666666666666,0.9916666666666666,1.0,1.0,1.0,1.0,,,,,,,,
sakila__oc_mysql,recall,0.6435897435897436,0.8974358974358975,0.9641025641025642,0.9794871794871796,0.9871794871794872,1.0,1.0,1.0,,,,,,,,
oc_oracle__tpch_sf1,recall,0.64,0.868,0.96,0.96,0.96,1.0,1.0,1.0,,,,,,,,
oc_mysql__tpch_sf1,recall,0.6333333333333333,0.7733333333333333,0.9099999999999999,0.9700000000000001,0.9833333333333334,1.0,1.0,1.0,,,,,,,,
sakila__tpch_sf1,recall,0.4264705882352941,0.6147058823529412,0.7647058823529411,0.9764705882352942,0.9794117647058824,1.0,1.0,1.0,,,,,,,,
oc_oracle__sakila,recall,0.5809523809523809,0.7142857142857143,0.7571428571428571,0.8047619047619048,0.8619047619047618,0.9285714285714286,0.9380952380952381,0.9523809523809523,0.9523809523809523,0.9714285714285715,0.9952380952380953,0.9952380952380953,1.0,1.0,1.0,1.0
oc_mysql__sakila,recall,0.5974358974358974,0.8461538461538461,0.8923076923076924,0.9256410256410257,0.9512820512820515,0.9743589743589745,0.9923076923076923,0.9974358974358974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tpch_sf1__sakila,recall,0.39259259259259255,0.6777777777777778,0.8074074074074075,0.8925925925925926,0.9666666666666666,0.9962962962962962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
