schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,recall,0.0,0.027328325458245258,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.016865480854231375,0.03373096170846272,0.016865480854231365,0.012649110640673492,0.01932183566158594,0.0,0.0,,,,,,,,,
sakila__oc_oracle,recall,0.018442777839082942,0.029160592175990197,0.015058465048420799,0.011293848786315598,0.0,0.0,0.0,,,,,,,,,
oc_oracle__oc_mysql,recall,0.03214040751002636,0.02007795339789445,0.015058465048420844,0.0,0.0,0.0,0.0,0.0,,,,,,,,
tpch_sf1__oc_mysql,recall,0.02012691214748534,0.053611830737829956,0.05572889624371912,0.05270462766947298,0.01317615691736823,0.0,0.0,0.0,,,,,,,,
sakila__oc_mysql,recall,0.02093580976737758,0.012385792090760205,0.010811205675789406,0.017928356378976974,0.01238579209076016,0.0,0.0,0.0,,,,,,,,
oc_oracle__tpch_sf1,recall,0.020655911179772907,0.022705848487901862,0.016865480854231334,0.0,0.0,0.012649110640673547,0.0,0.0,,,,,,,,
oc_mysql__tpch_sf1,recall,0.02629368792488718,0.010540925533894602,0.02249828525701842,0.0322030594359765,0.03314763086705846,0.017213259316477346,0.0,0.0,,,,,,,,
sakila__tpch_sf1,recall,0.02320031287490048,0.05791786465781145,0.015188169985127072,0.024213900069075492,0.0,0.0,0.0,0.0,,,,,,,,
oc_oracle__sakila,recall,0.02703077200940697,0.04517539514526254,0.03329551898952861,0.0,0.027030772009407,0.02703077200940698,0.023002185311411797,0.02300218531141178,0.015058465048420837,0.015058465048420837,0.0,0.0,0.0,0.0,0.0,0.0
oc_mysql__sakila,recall,0.05675882979789398,0.028218075246528532,0.0,0.012385792090760158,0.01455503108198835,0.008108404256842,0.013240968704982571,0.008108404256841967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpch_sf1__sakila,recall,0.039235181684125195,0.06773267518195161,0.027328325458245293,0.035781177151085,0.015616185976140212,0.019125843684974993,0.01561618597614021,0.011712139482105158,0.011712139482105158,0.011712139482105158,0.0,0.0,0.0,0.0,0.0,0.0
