schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,recall,0.027328325458245265,0.02342427896421024,0.05367176572662762,0.0,0.0,0.0,0.0,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.03502380143083654,0.01264911064067353,0.019321835661585886,0.016865480854231354,0.0,0.0,0.0,,,,,,,,,
sakila__oc_oracle,recall,0.04595299777528283,0.0368855556781659,0.01505846504842088,0.0,0.0,0.0,0.0,,,,,,,,,
oc_oracle__oc_mysql,recall,0.0675303091624846,0.01505846504842087,0.023002185311411807,0.0,0.0,0.0,0.0,0.0,,,,,,,,
tpch_sf1__oc_mysql,recall,0.013176156917368256,0.0294627825494395,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
sakila__oc_mysql,recall,0.01324096870498261,0.008108404256842007,0.008108404256842002,0.0,0.0,0.0,0.0,0.0,,,,,,,,
oc_oracle__tpch_sf1,recall,0.027968235951204068,0.019321835661585907,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
oc_mysql__tpch_sf1,recall,0.017213259316477412,0.016101529717988297,0.014054567378526082,0.0,0.0,0.0,0.0,0.0,,,,,,,,
sakila__tpch_sf1,recall,0.012401088863405392,0.020564879375885338,0.02079725827019258,0.015188169985127108,0.0,0.0,0.0,0.0,,,,,,,,
oc_oracle__sakila,recall,0.0,0.03513641844631533,0.039203457254693555,0.027030772009406994,0.02300218531141184,0.015058465048420835,0.03214040751002632,0.03329551898952862,0.0,0.015058465048420894,0.03329551898952863,0.04046840883803799,0.0,0.0,0.0,0.0
oc_mysql__sakila,recall,0.030218238512245626,0.04195876139703789,0.008108404256842039,0.008108404256841976,0.008108404256842004,0.01081120567578934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpch_sf1__sakila,recall,0.05179302953926674,0.0455286146039155,0.034034688276766006,0.03683070096339824,0.025896514769633387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
