schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,recall,0.467 ± 0.047,0.589 ± 0.044,0.789 ± 0.043,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
tpch_sf1__oc_oracle,recall,0.464 ± 0.034,0.6 ± 0.033,0.76 ± 0.027,0.812 ± 0.019,0.912 ± 0.049,0.988 ± 0.019,1.0 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
sakila__oc_oracle,recall,0.346 ± 0.038,0.654 ± 0.061,0.882 ± 0.034,0.95 ± 0.038,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
oc_oracle__oc_mysql,recall,0.824 ± 0.032,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
tpch_sf1__oc_mysql,recall,0.558 ± 0.045,0.712 ± 0.013,0.808 ± 0.045,0.992 ± 0.018,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
sakila__oc_mysql,recall,0.228 ± 0.033,0.531 ± 0.024,0.9 ± 0.022,0.933 ± 0.018,0.959 ± 0.013,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
oc_oracle__tpch_sf1,recall,0.476 ± 0.074,0.772 ± 0.053,0.892 ± 0.027,0.956 ± 0.013,0.96 ± 0.0,0.96 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
oc_mysql__tpch_sf1,recall,0.46 ± 0.047,0.8 ± 0.016,0.873 ± 0.031,0.907 ± 0.021,0.927 ± 0.021,0.96 ± 0.014,1.0 ± 0.0,1.0 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
sakila__tpch_sf1,recall,0.265 ± 0.039,0.506 ± 0.019,0.768 ± 0.043,0.818 ± 0.019,0.832 ± 0.014,0.865 ± 0.025,0.953 ± 0.021,1.0 ± 0.0,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan,nan ± nan
oc_oracle__sakila,recall,0.281 ± 0.035,0.61 ± 0.049,0.695 ± 0.033,0.752 ± 0.02,0.829 ± 0.033,0.852 ± 0.027,0.919 ± 0.045,0.938 ± 0.032,0.967 ± 0.032,0.995 ± 0.015,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0
oc_mysql__sakila,recall,0.351 ± 0.04,0.608 ± 0.03,0.785 ± 0.04,0.882 ± 0.03,0.944 ± 0.016,0.987 ± 0.014,0.995 ± 0.011,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0
tpch_sf1__sakila,recall,0.241 ± 0.04,0.311 ± 0.05,0.493 ± 0.074,0.715 ± 0.086,0.896 ± 0.062,0.989 ± 0.018,0.996 ± 0.012,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0,1.0 ± 0.0
