schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,recall,0.4666666666666666,0.5888888888888889,0.7888888888888889,1.0,1.0,1.0,1.0,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.46399999999999997,0.6,0.76,0.812,0.9119999999999999,0.9879999999999999,1.0,,,,,,,,,
sakila__oc_oracle,recall,0.3464285714285714,0.6535714285714286,0.8821428571428571,0.95,1.0,1.0,1.0,,,,,,,,,
oc_oracle__oc_mysql,recall,0.8238095238095238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
tpch_sf1__oc_mysql,recall,0.5583333333333333,0.7125,0.8083333333333333,0.9916666666666668,1.0,1.0,1.0,1.0,,,,,,,,
sakila__oc_mysql,recall,0.22820512820512814,0.5307692307692308,0.9,0.9333333333333333,0.9589743589743591,1.0,1.0,1.0,,,,,,,,
oc_oracle__tpch_sf1,recall,0.476,0.772,0.892,0.9560000000000001,0.96,0.96,1.0,1.0,,,,,,,,
oc_mysql__tpch_sf1,recall,0.45999999999999996,0.8,0.8733333333333334,0.9066666666666666,0.9266666666666665,0.9600000000000002,1.0,1.0,,,,,,,,
sakila__tpch_sf1,recall,0.2647058823529412,0.5058823529411764,0.7676470588235293,0.8176470588235294,0.8323529411764705,0.8647058823529411,0.9529411764705882,1.0,,,,,,,,
oc_oracle__sakila,recall,0.28095238095238095,0.6095238095238095,0.6952380952380952,0.7523809523809524,0.8285714285714285,0.8523809523809524,0.919047619047619,0.9380952380952381,0.9666666666666666,0.9952380952380953,1.0,1.0,1.0,1.0,1.0,1.0
oc_mysql__sakila,recall,0.35128205128205126,0.6076923076923078,0.7846153846153846,0.8820512820512821,0.9435897435897436,0.9871794871794872,0.9948717948717949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tpch_sf1__sakila,recall,0.2407407407407407,0.31111111111111106,0.4925925925925926,0.7148148148148148,0.8962962962962964,0.9888888888888889,0.9962962962962962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
