schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,recall,0.04684855792842044,0.04434144443473571,0.04294451143438537,0.0,0.0,0.0,0.0,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.03373096170846271,0.03265986323710904,0.02666666666666671,0.0193218356615859,0.04917090377222873,0.019321835661585927,0.0,,,,,,,,,
sakila__oc_oracle,recall,0.037833925195406425,0.06081923702116574,0.03388154635894696,0.03839170356332644,0.0,0.0,0.0,,,,,,,,,
oc_oracle__oc_mysql,recall,0.03214040751002632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
tpch_sf1__oc_mysql,recall,0.04479032082388083,0.01317615691736824,0.04479032082388084,0.017568209223157622,0.0,0.0,0.0,0.0,,,,,,,,
sakila__oc_mysql,recall,0.032991895838664576,0.02432521277052602,0.022451154763356827,0.017928356378976964,0.013240968704982635,0.0,0.0,0.0,,,,,,,,
oc_oracle__tpch_sf1,recall,0.07411702458499894,0.05349974039397036,0.026997942308422136,0.012649110640673512,0.0,0.0,0.0,0.0,,,,,,,,
oc_mysql__tpch_sf1,recall,0.04661372658534007,0.015713484026367717,0.030631219449089357,0.021081851067789148,0.021081851067789155,0.01405456737852624,0.0,0.0,,,,,,,,
sakila__tpch_sf1,recall,0.039215686274509824,0.018601633295108118,0.04262169631232186,0.01860163329510812,0.014207232104107289,0.024802177726810808,0.020564879375885387,0.0,,,,,,,,
oc_oracle__sakila,recall,0.035136418446315355,0.04918074090422114,0.03329551898952863,0.02007795339789444,0.0332955189895286,0.02703077200940701,0.0451753951452626,0.03214040751002631,0.03214040751002633,0.015058465048420835,0.0,0.0,0.0,0.0,0.0,0.0
oc_mysql__sakila,recall,0.040180031704421026,0.029730815608420676,0.04045182757674952,0.030097122840442796,0.01621680851368396,0.013514007094736614,0.010811205675789297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpch_sf1__sakila,recall,0.0400045722123942,0.049996189460040946,0.07417688338666571,0.08562242412049235,0.06246474390456056,0.017890588575542588,0.011712139482105158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
