schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,recall,0.5148148148148148,0.6481481481481481,0.8074074074074075,1.0,1.0,1.0,1.0,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.596,0.6880000000000001,0.9560000000000001,1.0,1.0,1.0,1.0,,,,,,,,,
sakila__oc_oracle,recall,0.7035714285714285,0.8571428571428571,0.9214285714285715,0.9714285714285715,1.0,1.0,1.0,,,,,,,,,
oc_oracle__oc_mysql,recall,0.7285714285714285,0.9619047619047618,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
tpch_sf1__oc_mysql,recall,0.4875,0.7166666666666667,0.9,1.0,1.0,1.0,1.0,1.0,,,,,,,,
sakila__oc_mysql,recall,0.5871794871794872,0.7769230769230769,0.9487179487179487,0.9487179487179487,0.9974358974358974,1.0,1.0,1.0,,,,,,,,
oc_oracle__tpch_sf1,recall,0.648,0.852,0.9480000000000001,0.96,0.96,0.984,1.0,1.0,,,,,,,,
oc_mysql__tpch_sf1,recall,0.7,0.8466666666666667,0.9,0.9366666666666665,0.9600000000000002,0.9766666666666668,0.9933333333333334,1.0,,,,,,,,
sakila__tpch_sf1,recall,0.35,0.7205882352941176,0.876470588235294,1.0,1.0,1.0,1.0,1.0,,,,,,,,
oc_oracle__sakila,recall,0.5571428571428572,0.6047619047619047,0.7857142857142857,0.8095238095238095,0.8380952380952381,0.8666666666666666,0.9095238095238095,0.9380952380952381,0.9476190476190476,0.9571428571428571,0.9904761904761905,1.0,1.0,1.0,1.0,1.0
oc_mysql__sakila,recall,0.5333333333333333,0.8282051282051281,0.8948717948717949,0.9487179487179487,0.9487179487179487,0.9487179487179487,0.976923076923077,0.9974358974358974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tpch_sf1__sakila,recall,0.3555555555555555,0.5777777777777777,0.837037037037037,0.9407407407407409,0.9666666666666666,0.9851851851851852,0.9962962962962962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
