schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,precision,0.1694915254237288,0.16101694915254236,0.13559322033898305,0.11440677966101695,0.09152542372881356,0.07627118644067797,0.06537530266343826,,,,,,,,,
oc_mysql__oc_oracle,recall,0.37037037037037035,0.7037037037037037,0.8888888888888888,1.0,1.0,1.0,1.0,,,,,,,,,
oc_mysql__oc_oracle,f1,0.2325581395348837,0.26206896551724135,0.2352941176470588,0.20532319391634982,0.16770186335403725,0.14173228346456693,0.12272727272727273,,,,,,,,,
tpch_sf1__oc_oracle,precision,0.16393442622950818,0.10655737704918032,0.09836065573770492,0.0860655737704918,0.07868852459016394,0.06830601092896176,0.0585480093676815,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.4,0.52,0.72,0.84,0.96,1.0,1.0,,,,,,,,,
tpch_sf1__oc_oracle,f1,0.23255813953488375,0.1768707482993197,0.17307692307692307,0.15613382899628253,0.14545454545454548,0.1278772378516624,0.11061946902654866,,,,,,,,,
sakila__oc_oracle,precision,0.1,0.1357142857142857,0.11428571428571428,0.09642857142857143,0.08,0.06666666666666667,0.05714285714285714,,,,,,,,,
sakila__oc_oracle,recall,0.25,0.6785714285714286,0.8571428571428571,0.9642857142857143,1.0,1.0,1.0,,,,,,,,,
sakila__oc_oracle,f1,0.14285714285714288,0.22619047619047616,0.20168067226890757,0.17532467532467533,0.14814814814814814,0.125,0.1081081081081081,,,,,,,,,
oc_oracle__oc_mysql,precision,0.3953488372093023,0.2441860465116279,0.16279069767441862,0.12209302325581395,0.09767441860465116,0.08139534883720931,0.06976744186046512,0.061046511627906974,,,,,,,,
oc_oracle__oc_mysql,recall,0.8095238095238095,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
oc_oracle__oc_mysql,f1,0.53125,0.3925233644859813,0.28,0.21761658031088082,0.17796610169491525,0.15053763440860218,0.13043478260869565,0.11506849315068494,,,,,,,,
tpch_sf1__oc_mysql,precision,0.19672131147540983,0.13934426229508196,0.1092896174863388,0.0942622950819672,0.07868852459016394,0.06557377049180328,0.05620608899297424,0.04918032786885246,,,,,,,,
tpch_sf1__oc_mysql,recall,0.5,0.7083333333333334,0.8333333333333334,0.9583333333333334,1.0,1.0,1.0,1.0,,,,,,,,
tpch_sf1__oc_mysql,f1,0.2823529411764706,0.23287671232876714,0.19323671497584538,0.1716417910447761,0.14589665653495443,0.12307692307692307,0.10643015521064302,0.09375,,,,,,,,
sakila__oc_mysql,precision,0.12857142857142856,0.15,0.1619047619047619,0.12857142857142856,0.10571428571428572,0.09285714285714286,0.07959183673469387,0.06964285714285715,,,,,,,,
sakila__oc_mysql,recall,0.23076923076923078,0.5384615384615384,0.8717948717948718,0.9230769230769231,0.9487179487179487,1.0,1.0,1.0,,,,,,,,
sakila__oc_mysql,f1,0.16513761467889906,0.23463687150837986,0.2730923694779116,0.225705329153605,0.19023136246786634,0.1699346405228758,0.14744801512287334,0.1302170283806344,,,,,,,,
oc_oracle__tpch_sf1,precision,0.2558139534883721,0.23255813953488372,0.17829457364341086,0.13953488372093023,0.11162790697674418,0.09302325581395349,0.08305647840531562,0.07267441860465117,,,,,,,,
oc_oracle__tpch_sf1,recall,0.44,0.8,0.92,0.96,0.96,0.96,1.0,1.0,,,,,,,,
oc_oracle__tpch_sf1,f1,0.3235294117647059,0.36036036036036034,0.2987012987012987,0.24365482233502536,0.19999999999999998,0.1696113074204947,0.15337423312883436,0.13550135501355015,,,,,,,,
oc_mysql__tpch_sf1,precision,0.2033898305084746,0.2033898305084746,0.14124293785310735,0.11440677966101695,0.09491525423728814,0.07909604519774012,0.07263922518159806,0.0635593220338983,,,,,,,,
oc_mysql__tpch_sf1,recall,0.4,0.8,0.8333333333333334,0.9,0.9333333333333333,0.9333333333333333,1.0,1.0,,,,,,,,
oc_mysql__tpch_sf1,f1,0.2696629213483146,0.3243243243243243,0.24154589371980675,0.20300751879699247,0.1723076923076923,0.14583333333333337,0.13544018058690743,0.1195219123505976,,,,,,,,
sakila__tpch_sf1,precision,0.11428571428571428,0.12857142857142856,0.12857142857142856,0.1,0.08285714285714285,0.06904761904761905,0.0673469387755102,0.060714285714285714,,,,,,,,
sakila__tpch_sf1,recall,0.23529411764705882,0.5294117647058824,0.7941176470588235,0.8235294117647058,0.8529411764705882,0.8529411764705882,0.9705882352941176,1.0,,,,,,,,
sakila__tpch_sf1,f1,0.15384615384615385,0.20689655172413793,0.22131147540983603,0.178343949044586,0.15104166666666666,0.1277533039647577,0.12595419847328243,0.11447811447811447,,,,,,,,
oc_oracle__sakila,precision,0.13953488372093023,0.12790697674418605,0.10852713178294573,0.0872093023255814,0.08372093023255814,0.07364341085271318,0.0664451827242525,0.061046511627906974,0.05426356589147287,0.04883720930232558,0.04439746300211417,0.040697674418604654,0.03756708407871199,0.03488372093023256,0.03255813953488372,0.03255813953488372
oc_oracle__sakila,recall,0.2857142857142857,0.5238095238095238,0.6666666666666666,0.7142857142857143,0.8571428571428571,0.9047619047619048,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oc_oracle__sakila,f1,0.18749999999999997,0.205607476635514,0.18666666666666668,0.15544041450777202,0.15254237288135594,0.13620071684587814,0.12422360248447206,0.11506849315068494,0.10294117647058823,0.09312638580931265,0.08502024291497975,0.0782122905027933,0.07241379310344828,0.06741573033707865,0.06306306306306306,0.06306306306306306
oc_mysql__sakila,precision,0.22033898305084745,0.1864406779661017,0.15819209039548024,0.1440677966101695,0.12203389830508475,0.10734463276836158,0.09443099273607748,0.0826271186440678,0.07344632768361582,0.06610169491525424,0.060092449922958396,0.05508474576271186,0.05084745762711865,0.04721549636803874,0.04406779661016949,0.04406779661016949
oc_mysql__sakila,recall,0.3333333333333333,0.5641025641025641,0.717948717948718,0.8717948717948718,0.9230769230769231,0.9743589743589743,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oc_mysql__sakila,f1,0.26530612244897955,0.2802547770700637,0.2592592592592593,0.24727272727272728,0.2155688622754491,0.1933842239185751,0.17256637168141592,0.15264187866927592,0.13684210526315788,0.12400635930047695,0.11337209302325581,0.10441767068273092,0.0967741935483871,0.09017341040462429,0.08441558441558442,0.08441558441558442
tpch_sf1__sakila,precision,0.09836065573770492,0.05737704918032787,0.07103825136612021,0.0860655737704918,0.08196721311475409,0.07377049180327869,0.06323185011709602,0.055327868852459015,0.04918032786885246,0.04426229508196721,0.040238450074515646,0.036885245901639344,0.034047919293820936,0.03161592505854801,0.029508196721311476,0.029508196721311476
tpch_sf1__sakila,recall,0.2222222222222222,0.25925925925925924,0.48148148148148145,0.7777777777777778,0.9259259259259259,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tpch_sf1__sakila,f1,0.13636363636363638,0.09395973154362415,0.1238095238095238,0.15498154981549817,0.1506024096385542,0.13740458015267176,0.11894273127753303,0.10485436893203884,0.09375,0.0847723704866562,0.07736389684813753,0.07114624505928854,0.06585365853658537,0.06129398410896709,0.057324840764331204,0.057324840764331204
