schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,recall,0.6185185185185185,0.837037037037037,0.9555555555555554,1.0,1.0,1.0,1.0,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.704,0.868,0.916,0.932,0.96,0.984,1.0,,,,,,,,,
sakila__oc_oracle,recall,0.6035714285714285,0.8178571428571428,0.8428571428571429,0.8821428571428571,0.9107142857142858,0.925,1.0,,,,,,,,,
oc_oracle__oc_mysql,recall,0.8904761904761905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
tpch_sf1__oc_mysql,recall,0.5625,0.7,0.9166666666666666,0.9666666666666668,0.9916666666666668,1.0,1.0,1.0,,,,,,,,
sakila__oc_mysql,recall,0.5871794871794872,0.7923076923076924,0.9230769230769231,0.9384615384615387,0.9564102564102566,0.976923076923077,0.9923076923076923,1.0,,,,,,,,
oc_oracle__tpch_sf1,recall,0.6719999999999999,0.8880000000000001,0.944,0.976,0.992,1.0,1.0,1.0,,,,,,,,
oc_mysql__tpch_sf1,recall,0.6733333333333332,0.8733333333333334,0.95,0.99,0.9966666666666667,1.0,1.0,1.0,,,,,,,,
sakila__tpch_sf1,recall,0.3558823529411764,0.5058823529411764,0.6823529411764706,0.9117647058823529,0.9617647058823529,0.9970588235294118,1.0,1.0,,,,,,,,
oc_oracle__sakila,recall,0.5714285714285714,0.6238095238095238,0.6666666666666666,0.7761904761904762,0.8380952380952381,0.8857142857142858,0.919047619047619,0.9285714285714286,0.9523809523809523,0.9666666666666668,0.9714285714285715,0.9714285714285715,1.0,1.0,1.0,1.0
oc_mysql__sakila,recall,0.5769230769230769,0.8025641025641026,0.8948717948717949,0.9282051282051282,0.9435897435897438,0.9589743589743591,0.9794871794871796,0.9820512820512821,0.9846153846153847,0.9923076923076923,1.0,1.0,1.0,1.0,1.0,1.0
tpch_sf1__sakila,recall,0.37037037037037035,0.5518518518518518,0.662962962962963,0.7592592592592593,0.8148148148148149,0.8925925925925926,0.9444444444444444,0.9629629629629628,0.9703703703703702,0.9703703703703702,0.9740740740740741,0.9851851851851852,1.0,1.0,1.0,1.0
