schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,recall,0.030491577864761664,0.049996189460041,0.023424278964210198,0.0,0.0,0.0,0.0,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.04695151163109072,0.026997942308422077,0.022705848487901865,0.01932183566158587,0.0,0.020655911179772918,0.0,,,,,,,,,
sakila__oc_oracle,recall,0.011293848786315641,0.026352313834736473,0.018442777839082953,0.017251638983558897,0.025253813613805284,0.011293848786315641,0.0,,,,,,,,,
oc_oracle__oc_mysql,recall,0.02300218531141182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
tpch_sf1__oc_mysql,recall,0.03540985773328324,0.04303314829119352,0.0,0.017568209223157646,0.017568209223157615,0.0,0.0,0.0,,,,,,,,
sakila__oc_mysql,recall,0.025498177590045013,0.03715737627228058,0.024174590809796535,0.02162241135157864,0.024325212770525975,0.02245115476335669,0.01238579209076016,0.0,,,,,,,,
oc_oracle__tpch_sf1,recall,0.07004760286167304,0.02529822128134706,0.020655911179772852,0.020655911179772907,0.016865480854231365,0.0,0.0,0.0,,,,,,,,
oc_mysql__tpch_sf1,recall,0.014054567378526131,0.021081851067789186,0.017568209223157782,0.016101529717988207,0.010540925533894555,0.0,0.0,0.0,,,,,,,,
sakila__tpch_sf1,recall,0.048921470391665264,0.03615507630310938,0.01860163329510812,0.019607843137254874,0.02790244994266223,0.00930081664755406,0.0,0.0,,,,,,,,
oc_oracle__sakila,recall,0.0,0.015058465048420835,0.03174603174603172,0.045175395145262545,0.05118893808443526,0.040155906795788954,0.03214040751002638,0.02509744174736812,0.022447834323382446,0.023002185311411797,0.024590370452110558,0.024590370452110558,0.0,0.0,0.0,0.0
oc_mysql__sakila,recall,0.030218238512245647,0.029730815608420665,0.02821807524652856,0.02022591378837478,0.023562476499299496,0.02477158418152038,0.010811205675789302,0.012385792090760154,0.013240968704982575,0.01238579209076016,0.0,0.0,0.0,0.0,0.0,0.0
tpch_sf1__sakila,recall,0.060481228216868584,0.0324294457692931,0.032429445769293075,0.043648566739910334,0.03491885339192826,0.032429445769293117,0.019520232470175022,0.017459426695964095,0.015616185976140225,0.015616185976140225,0.01789058857554259,0.019125843684974976,0.0,0.0,0.0,0.0
