schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,recall,0.548148148148148,0.7518518518518518,0.9185185185185185,1.0,1.0,1.0,1.0,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.54,0.6839999999999999,0.744,0.884,0.952,1.0,1.0,,,,,,,,,
sakila__oc_oracle,recall,0.5178571428571429,0.7892857142857143,0.8428571428571429,0.9500000000000002,0.9857142857142858,1.0,1.0,,,,,,,,,
oc_oracle__oc_mysql,recall,0.9,0.9904761904761905,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
tpch_sf1__oc_mysql,recall,0.5875,0.6833333333333333,0.8958333333333334,0.9958333333333333,1.0,1.0,1.0,1.0,,,,,,,,
sakila__oc_mysql,recall,0.5538461538461539,0.7974358974358975,0.9282051282051282,0.9307692307692308,0.9410256410256412,0.976923076923077,0.9923076923076923,1.0,,,,,,,,
oc_oracle__tpch_sf1,recall,0.54,0.78,0.9480000000000001,1.0,1.0,1.0,1.0,1.0,,,,,,,,
oc_mysql__tpch_sf1,recall,0.5566666666666666,0.74,0.93,0.9766666666666668,1.0,1.0,1.0,1.0,,,,,,,,
sakila__tpch_sf1,recall,0.35882352941176465,0.5323529411764706,0.7676470588235295,0.8735294117647058,0.9470588235294116,0.9764705882352942,0.9941176470588236,1.0,,,,,,,,
oc_oracle__sakila,recall,0.519047619047619,0.6428571428571429,0.738095238095238,0.7714285714285714,0.819047619047619,0.9666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
oc_mysql__sakila,recall,0.5282051282051282,0.7666666666666666,0.9076923076923078,0.9461538461538461,0.9717948717948719,0.9974358974358974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tpch_sf1__sakila,recall,0.18888888888888883,0.4148148148148148,0.6518518518518518,0.7555555555555555,0.825925925925926,0.9444444444444444,0.9666666666666665,0.9777777777777776,0.9777777777777776,0.9851851851851852,0.9888888888888889,1.0,1.0,1.0,1.0,1.0
