schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,recall,0.04552861460391551,0.024998094730020487,0.04204786757018863,0.0,0.0,0.0,0.0,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.02108185106778922,0.022705848487901848,0.027968235951204075,0.02951459149490491,0.03155242550986461,0.0,0.0,,,,,,,,,
sakila__oc_oracle,recall,0.03470804699312678,0.03127125127753261,0.048210611265039525,0.02497163924214652,0.018442777839082866,0.0,0.0,,,,,,,,,
oc_oracle__oc_mysql,recall,0.02703077200940702,0.020077953397894442,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
tpch_sf1__oc_mysql,recall,0.036483126490454716,0.02913357911583757,0.021960261528947075,0.01317615691736823,0.0,0.0,0.0,0.0,,,,,,,,
sakila__oc_mysql,recall,0.017928356378976988,0.06885515918332592,0.016216808513683977,0.017306373274629534,0.02110955390637342,0.01891960993263129,0.01238579209076016,0.0,,,,,,,,
oc_oracle__tpch_sf1,recall,0.038873012632301994,0.057348835113617505,0.019321835661585896,0.0,0.0,0.0,0.0,0.0,,,,,,,,
oc_mysql__tpch_sf1,recall,0.03865006029094684,0.04388537257362558,0.04567734398020996,0.027442420078285505,0.0,0.0,0.0,0.0,,,,,,,,
sakila__tpch_sf1,recall,0.041129758751770634,0.037843645226703526,0.07130626096458109,0.05197003247332774,0.027027546572725984,0.02320031287490051,0.012401088863405414,0.0,,,,,,,,
oc_oracle__sakila,recall,0.04169500170337683,0.04046840883803798,0.025097441747368065,0.03756241132126739,0.02007795339789445,0.023002185311411783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oc_mysql__sakila,recall,0.03243361702736801,0.03299189583866455,0.017928356378977023,0.008108404256841967,0.008108404256842007,0.00810840425684197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpch_sf1__sakila,recall,0.04765496065584886,0.05179302953926673,0.03981361851011631,0.05295706318401784,0.0606070997957214,0.019520232470175057,0.011712139482105158,0.01912584368497498,0.01912584368497498,0.019125843684974983,0.0178905885755426,0.0,0.0,0.0,0.0,0.0
