schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,recall,0.611111111111111,0.7814814814814814,1.0,1.0,1.0,1.0,1.0,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.6880000000000001,0.844,0.892,0.9560000000000001,0.9879999999999999,1.0,1.0,,,,,,,,,
sakila__oc_oracle,recall,0.6071428571428571,0.8071428571428572,0.8107142857142857,0.8928571428571429,0.9071428571428571,0.9571428571428571,1.0,,,,,,,,,
oc_oracle__oc_mysql,recall,0.8857142857142858,0.9714285714285715,0.9952380952380953,1.0,1.0,1.0,1.0,1.0,,,,,,,,
tpch_sf1__oc_mysql,recall,0.575,0.6958333333333333,0.9125,0.975,0.9958333333333333,1.0,1.0,1.0,,,,,,,,
sakila__oc_mysql,recall,0.6307692307692309,0.8948717948717949,0.9666666666666668,0.9794871794871796,1.0,1.0,1.0,1.0,,,,,,,,
oc_oracle__tpch_sf1,recall,0.524,0.768,0.9120000000000001,0.9800000000000001,0.992,1.0,1.0,1.0,,,,,,,,
oc_mysql__tpch_sf1,recall,0.6666666666666666,0.79,0.9,0.9399999999999998,0.9666666666666668,0.9766666666666668,0.9933333333333334,1.0,,,,,,,,
sakila__tpch_sf1,recall,0.41764705882352937,0.6235294117647059,0.7911764705882353,0.902941176470588,0.9676470588235293,1.0,1.0,1.0,,,,,,,,
oc_oracle__sakila,recall,0.5809523809523809,0.6428571428571429,0.6761904761904762,0.7666666666666666,0.7857142857142857,0.8095238095238095,0.8428571428571429,0.880952380952381,0.9047619047619048,0.9380952380952381,0.9571428571428571,0.9904761904761905,1.0,1.0,1.0,1.0
oc_mysql__sakila,recall,0.5923076923076923,0.8897435897435898,0.917948717948718,0.9717948717948719,0.9974358974358974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
tpch_sf1__sakila,recall,0.4111111111111111,0.6037037037037037,0.6888888888888889,0.7851851851851851,0.8851851851851851,0.9407407407407407,0.9555555555555554,0.9629629629629628,0.9740740740740741,0.9814814814814813,0.9925925925925926,0.9962962962962962,1.0,1.0,1.0,1.0
