schemas_column_table_pred,metric,top_1,top_2,top_3,top_4,top_5,top_6,top_7,top_8,top_9,top_10,top_11,top_12,top_13,top_14,top_15,top_16
oc_mysql__oc_oracle,recall,0.019520232470175206,0.011712139482105088,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
tpch_sf1__oc_oracle,recall,0.016865480854231334,0.02270584848790188,0.01932183566158594,0.03502380143083653,0.0269979423084221,0.0,0.0,,,,,,,,,
sakila__oc_oracle,recall,0.0,0.018442777839082925,0.017251638983558838,0.0,0.018442777839082936,0.03281916369545289,0.0,,,,,,,,,
oc_oracle__oc_mysql,recall,0.033295518989528664,0.02459037045211055,0.015058465048420837,0.0,0.0,0.0,0.0,0.0,,,,,,,,
tpch_sf1__oc_mysql,recall,0.026352313834736525,0.028122856571273048,0.03648312649045474,0.021516574145596736,0.01317615691736823,0.0,0.0,0.0,,,,,,,,
sakila__oc_mysql,recall,0.04221910781274693,0.025498177590045017,0.024325212770525958,0.01621680851368397,0.0,0.0,0.0,0.0,,,,,,,,
oc_oracle__tpch_sf1,recall,0.012649110640673547,0.016865480854231372,0.04541169697580372,0.02108185106778922,0.016865480854231358,0.0,0.0,0.0,,,,,,,,
oc_mysql__tpch_sf1,recall,0.0,0.0316227766016838,0.0,0.014054567378526232,0.0,0.016101529717988207,0.014054567378526084,0.0,,,,,,,,
sakila__tpch_sf1,recall,0.051505590339465473,0.061694638127655986,0.04691563181962899,0.02421390006907539,0.029247909588581037,0.0,0.0,0.0,,,,,,,,
oc_oracle__sakila,recall,0.020077953397894498,0.025097441747368082,0.02007795339789451,0.027030772009406998,0.025097441747368117,0.03174603174603173,0.023002185311411783,0.040468408838038,0.022447834323382484,0.02300218531141183,0.03513641844631532,0.02007795339789445,0.0,0.0,0.0,0.0
oc_mysql__sakila,recall,0.04264948700811848,0.017306373274629607,0.010811205675789397,0.01891960993263132,0.008108404256841967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tpch_sf1__sakila,recall,0.053671765726627546,0.06060709979572134,0.052957063184017834,0.057377531054924706,0.027328325458245283,0.025896514769633283,0.015616185976140036,0.0,0.017890588575542588,0.019520232470175272,0.01561618597614021,0.011712139482105158,0.0,0.0,0.0,0.0
